apple,яблоко
Morning,утро
London,Лондон
computer,компьютер
Friday,пятница
Russia,Россия
window,окно
English,английский
travel,путешествие
Summer,лето
go,идти
test,тест
house,дом
book,книга
water,вода
food,еда
friend,друг
family,семья
school,школа
work,работа
city,город
country,страна
car,машина
road,дорога
day,день
night,ночь
week,неделя
month,месяц
year,год
time,время
morning,утро
evening,вечер
today,сегодня
tomorrow,завтра
yesterday,вчера
happy,счастливый
good,хороший
bad,плохой
big,большой
small,маленький
new,новый
old,старый
fast,быстрый
slow,медленный
read,читать
write,писать
speak,говорить
listen,слушать
learn,учить
